#label len H_moment C C_dens A_index Aro B_index H_ratio I_index Iep Helix
1 14 0.360733 2 0.00202379 195.714 0 -0.962143 0.714286 -2.84286 10.9868 0.714286
-1 15 0.465824 3 0.00210118 91.3333 0.266667 -0.202 0.4 1.75333 11.1567 0.8
-1 16 0.127831 0 -0.000405507 73.125 0.1875 1.645 0.1875 -3.51875 6.0542 0
-1 20 0.152428 3 0.00140858 5 0.15 4.2865 0.1 22.695 10.2834 0.3
-1 24 1.0651 10 0.00335312 121.667 0.125 4.50625 0.375 131.333 12.6509 0.708333
-1 47 0.174266 1 0.00035066 53.8298 0.12766 0.362128 0.297872 6.29574 8.10059 0
-1 20 0.179895 0 -3.20402e-05 63.5 0.25 0.2415 0.3 11.8255 5.90625 0
1 34 0.0533288 6 0.00164987 68.8235 0.0882353 1.78559 0.382353 33.6059 9.51367 0.147059
-1 36 0.223329 -4 -0.00109406 100.278 0.138889 1.78528 0.305556 61.0056 3.96338 0.861111
-1 26 0.351825 3 0.000971847 90.3846 0.153846 2.78038 0.346154 69.9077 10.0703 0.730769
1 16 0.405296 0 0.000622901 176.875 0.0625 -1.85625 0.5625 10.8 10.0254 0.125
1 41 0.040047 3 0.000766345 38.0488 0.195122 1.18171 0.439024 45.4024 8.396 0.170732
-1 12 0.394316 0 2.31327e-05 130.833 0 0.34 0.666667 11.0667 7.07812 0.666667
-1 18 0.763945 3 0.00164154 102.778 0.222222 2.02278 0.388889 56.4556 11.2881 0.722222
1 26 0.106932 4 0.0017766 165 0.0769231 -1.07 0.538462 -19.0231 11.2788 0.192308
-1 16 0.103088 -2 -0.00115259 133.75 0.0625 0.434375 0.5 4.06875 3.70605 0
-1 43 0.160098 -3 -0.000673925 93.2558 0.116279 0.13907 0.534884 8.97209 3.62402 0.488372
1 27 0.290651 2 0.00100489 101.111 0 0.845556 0.481481 -12.7259 9.6333 0.703704
1 33 0.0870389 4 0.00138729 124.242 0 0.970303 0.454545 8.74242 10.3948 0.424242
-1 12 0.461346 1 0.00142843 90 0.25 0.138333 0.5 49.825 10.4414 0.583333
-1 18 0.396006 0 0.000389553 118.889 0.277778 -1.00056 0.666667 -7.81111 8.08691 0.166667
-1 29 0.079017 0 -0.000133247 33.4483 0.103448 0.915517 0.344828 44.2862 5.75 0
1 38 0.566523 6 0.00132994 82.1053 0.0526316 3.33105 0.263158 29.2053 11.1514 0.526316
-1 21 0.578706 7 0.00312478 83.8095 0.0952381 1.14667 0.380952 -10.6476 11.5186 0.666667
1 9 0.279232 2 0.00259527 152.222 0.111111 2.67222 0.555556 149.889 12.4014 0.555556
-1 12 0.402165 4 0.00303853 8.33333 0.416667 3.44333 0.166667 80.5175 10.4871 0.166667
-1 27 0.490591 0 -0.000275613 90.3704 0.111111 1.81037 0.296296 22.6333 5.3916 0.666667
1 23 0.40637 0 0.000450151 143.913 0 -0.423913 0.434783 -12.5826 9.83984 0.391304
-1 13 0.530764 0 -1.97396e-06 127.692 0.153846 0.176154 0.461538 14.3846 6.8125 0.692308
1 24 0.397057 2 0.00111668 125.833 0.0833333 -0.549583 0.666667 38.5417 9.87109 0.25
1 13 0.484073 0 0.000681356 172.308 0.153846 -1.06308 0.615385 21.8308 10.7422 0.230769
-1 16 0.397727 1 0.000692002 164.375 0.0625 -1.72562 0.625 11.7812 10.0254 0.125
-1 11 0.246503 0 0.000810784 150.909 0.0909091 -0.229091 0.545455 4.87273 10.0254 0.454545
1 13 0.532203 0 0.000709048 157.692 0.153846 -1.63462 0.538462 4.45385 10.0254 0.153846
1 12 0.705128 4 0.00346914 130 0.0833333 1.1025 0.333333 -3.08333 11.752 0.5
-1 39 0.275893 -4 -0.00110189 110 0.0769231 1.65513 0.358974 21.7462 4.02356 0.692308
1 40 0.297428 7 0.0016766 75.5 0.05 2.18475 0.4 43.3075 10.3799 0.025
-1 29 0.0794766 0 0.000201127 43.4483 0.0344828 0.775517 0.344828 30.1 7.43506 0
1 20 0.124103 5 0.00246291 53.5 0.05 2.9985 0.3 49.86 10.9443 0.05
1 17 0.437479 1 0.0012964 155.294 0 -1.47824 0.647059 -10.5647 10.709 0.647059
1 24 0.185724 0 0.000257726 69.1667 0.0833333 -0.184167 0.625 31.375 7.52832 0.333333
1 26 0.405094 2 0.000807836 71.5385 0.153846 0.532692 0.384615 15.7808 10.4224 0.153846
1 24 0.216239 2 0.000780764 121.667 0.0833333 -0.186667 0.5 45.2458 10.4219 0.291667
1 34 0.489409 14 0.00360827 62.9412 0.176471 2.27324 0.382353 10.1618 12.5166 0.588235
-1 14 0.790039 7 0.00464133 167.143 0 1.06286 0.428571 -39.2286 11.5186 0.785714
-1 17 0.1919 5 0.00236259 0 0.470588 3.92706 0.117647 226.094 12.7993 0
-1 12 0.61161 1 0.00155546 145.833 0 -0.0975 0.416667 31.7917 10.709 0.166667
1 28 0.267509 2 0.00102377 108.214 0.0357143 0.439286 0.5 0.246429 10.6904 0.892857
1 23 0.0706905 2 0.00108544 110.87 0.130435 1.49652 0.521739 19.113 11.1851 0.826087
1 33 0.215753 1 0.000551756 94.8485 0.0606061 0.950909 0.454545 24.6455 8.88477 0.606061
-1 29 0.274833 0 -4.05183e-05 104.138 0.0689655 2.24828 0.37931 47.4621 6.01562 0.0344828
-1 18 0.651136 4 0.00216213 102.778 0.166667 2.18111 0.388889 62.2 11.6885 0.555556
-1 7 0.293154 4 0.00447846 0 0.285714 7.31429 0 172.229 12.4243 0
-1 29 0.0607899 0 -0.000141361 43.4483 0.0344828 0.757931 0.344828 50.8448 5.75 0
1 30 0.27534 4 0.00158145 107 0 1.119 0.366667 43.3333 10.9136 0.3
-1 20 0.219867 -1 -0.000488276 82.5 0.15 0.741 0.35 -5.19 3.73242 0
1 21 0.389 2 0.000972893 130 0.0952381 -0.770476 0.428571 6.70952 10.709 0.333333
-1 35 0.230065 4 0.00121564 64 0.0857143 3.61914 0.285714 79.9086 11.979 0.514286
-1 36 0.27506 -2 -0.000711881 127.222 0.0555556 1.59306 0.388889 27.7889 4.01025 0.777778
1 44 0.0850361 3 0.000826827 86.5909 0.0681818 1.2875 0.340909 19.3773 10.4656 0.636364
1 23 0.4081 0 0.000440583 131.304 0.0434783 -0.377826 0.434783 -8.8913 9.83984 0.434783
-1 9 1.06186 3 0.00263637 0 0.444444 6.21111 0 199.822 12.5776 0.111111
1 30 0.0782985 2 0.000751143 65.3333 0.166667 1.07633 0.5 55.71 8.11597 0.166667
-1 16 0.972079 7 0.00360072 85 0.1875 5.99375 0.4375 192.075 12.9453 0.75
-1 36 0.222734 -4 -0.00120325 127.222 0.0277778 1.52278 0.416667 36.9472 3.70068 0.638889
1 33 0.193391 2 0.000862573 117.879 0.030303 -0.0421212 0.454545 1.55758 9.63281 0.272727
1 13 0.253519 1 0.00108709 22.3077 0.461538 0.461538 0.153846 35.1769 11.4004 0
-1 21 0.675986 8 0.0037951 42.8571 0.142857 1.27 0.428571 -4.79048 11.5762 0.857143
1 15 0.292548 4 0.00307897 90.6667 0.0666667 1.22 0.333333 1.35333 10.9062 0.0666667
1 14 0.687186 5 0.00325706 111.429 0.214286 2.13857 0.428571 29.5286 11.5869 0.714286
1 27 0.347607 3 0.00138527 122.963 0.037037 -0.32 0.481481 -5.52222 10.1519 0.592593
1 19 0.370027 2 0.00146026 143.684 0 -1.25632 0.631579 18.3684 9.76953 0.315789
1 12 0.467396 0 0.00080285 227.5 0 -2.06667 0.583333 27.1167 10.0254 0.75
1 9 0.180202 2 0.00271444 152.222 0.111111 1.90556 0.555556 45.1111 11.2881 0.555556
-1 24 0.152117 5 0.00189003 12.5 0.125 4.27417 0.166667 34.1625 10.7786 0.541667
1 24 0.383496 3 0.00150473 122.083 0.125 -1.115 0.666667 16.3667 10.2651 0.333333
1 9 0.50922 5 0.00530385 0 0 8.51556 0 105.9 12.5913 0
-1 19 0.101175 1 0.000875507 61.5789 0.263158 0.0894737 0.368421 23.8632 10.2397 0.0526316
-1 38 0.337854 0 -7.22277e-07 84.7368 0.0526316 1.74895 0.315789 19.05 6.875 0.552632
1 22 0.518431 2 0.000944816 110.455 0.136364 0.110909 0.409091 -11.8818 10.4414 0
-1 18 0.579005 0 0.000448828 124.444 0.111111 2.51333 0.388889 50.5389 9.5791 0.388889
1 14 0.364514 7 0.0048107 0 0 6.93643 0 85.4071 12.6045 0
1 12 0.564495 3 0.0020795 97.5 0.166667 0.1125 0.416667 96.9583 10.9868 0.666667
1 25 0.0680525 5 0.00207839 109.2 0 0.5116 0.52 38.24 10.0054 0
-1 30 0.067412 -1 -0.000451216 84.3333 0.0666667 -0.107667 0.5 25.0767 3.94434 0
-1 16 0.414007 0 0.000596757 183.125 0.0625 -1.455 0.5625 1.40625 10.0254 0.625
-1 13 0.473568 1 0.00138248 180 0.0769231 -0.297692 0.538462 4.45385 11.4004 0.384615
1 34 0.162182 9 0.00250005 14.7059 0.117647 2.66824 0.441176 26.4324 10.0408 0.176471
1 20 0.437547 1 0.000930334 117 0.1 0.1065 0.55 21.1 10.4219 0.6
-1 6 0.277451 2 0.00321267 0 0.333333 5.32 0.166667 75.6167 10.4287 0
1 15 0.478101 3 0.00248552 104 0.0666667 1.29533 0.4 20.2533 11.0093 0.6
-1 36 0.238132 -2 -0.000671082 86.6667 0.166667 2.01222 0.305556 30.2528 4.01025 0.75
1 21 0.354145 1 0.000915107 139.048 0 -1.28619 0.52381 11.319 8.91309 0
-1 12 0.838183 5 0.00433993 50 0 6.555 0.5 152.367 12.7993 0.916667
1 25 0.121964 7 0.00231743 93.6 0.12 2.2204 0.4 49.676 12.1467 0.36
1 24 0.425344 3 0.00148274 137.917 0.0833333 -0.67875 0.666667 46.1708 10.4165 0.25
-1 29 0.0796158 0 -0.000139901 43.4483 0.0344828 0.672759 0.344828 46.5897 5.75 0
1 21 0.284932 6 0.00279709 46.6667 0.047619 4.97381 0.285714 80.6857 11.99 0.857143
1 19 0.926603 6 0.00295027 138.421 0.105263 2.03579 0.473684 17.4789 12.4453 0.789474
-1 36 0.175607 -5 -0.0013123 89.4444 0.138889 2.11111 0.277778 66.3556 3.8728 0.861111
-1 3 0.728109 1 0.00510728 0 0 3.27333 0.333333 6.66667 9.85938 0
-1 45 0.0568838 1 0.000319083 30.4444 0.111111 2.77533 0.355556 17.1756 7.66919 0.177778
-1 36 0.263651 0 -0.00022262 86.6667 0.138889 2.55139 0.277778 62.9722 4.7959 0.833333
1 26 0.35897 4 0.00175419 135 0.0384615 0.57 0.423077 44.7308 12.1797 0.346154
-1 31 0.430336 0 1.40523e-06 100.968 0.0322581 1.96774 0.354839 78.7742 7.125 0.83871
-1 31 0.038897 0 0.000185687 81.6129 0.0645161 0.04 0.483871 30.2355 7.43359 0
1 35 0.0859242 6 0.00184101 75.4286 0.114286 0.697143 0.485714 25.1714 10.9285 0.685714
-1 26 0.494608 -2 -0.000889029 60 0.115385 3.43654 0.153846 93.6846 4.41187 0.846154
1 13 0.682333 1 0.00121635 112.308 0.307692 -0.123077 0.538462 24.0462 11.4004 0.538462
1 38 0.0791264 3 0.000995295 92.3684 0.0526316 0.615526 0.421053 31.5763 10.1475 0.236842
1 29 0.416102 5 0.00200119 121.379 0 0.267241 0.482759 -5.39655 11.074 0.689655
1 31 0.359712 4 0.00149691 88.3871 0.0322581 1.85968 0.322581 26.4581 11.1729 0.645161
-1 47 0.0931529 1 0.000264965 72.766 0.0851064 -0.538936 0.361702 10.8894 8.10693 0
-1 39 0.188215 4 0.000949272 67.4359 0.0769231 2.28923 0.25641 2.2641 10.7207 0.230769
-1 24 0.961042 10 0.00338483 117.5 0.125 3.78917 0.333333 107.217 12.5166 0.708333
-1 5 0.217788 0 4.85088e-05 0 0 2.684 0.2 73.2 7.07617 0.2
1 43 0.19881 0 0.000140685 47.6744 0.139535 1.49651 0.348837 25.9977 7.52539 0.162791
-1 31 0.149706 11 0.00307874 78.3871 0.16129 2.8929 0.354839 64.1 12.5208 0.387097
-1 13 0.485267 0 0.00069397 180 0.153846 -1.94538 0.538462 10.9846 9.65039 0.538462
1 31 0.607227 6 0.00184161 81.6129 0.0645161 3.83935 0.290323 28.3581 11.4348 0.645161
-1 10 0.362283 2 0.00205103 49 0 2.118 0.2 28.66 11.4004 0
-1 18 5.24272e-17 3 0.0018487 86.6667 0 1.58667 0.555556 -4.70556 8.40967 0
1 12 0.616364 5 0.00374927 113.333 0.0833333 4.61833 0.416667 22.5833 12.5913 0
1 19 0.262534 2 0.000974626 30.5263 0.157895 0.824737 0.210526 53.2579 10.2397 0
1 21 0.320387 0 0.000432552 157.619 0 -1.93905 0.571429 22.0905 8.09473 0
1 23 0.151574 1 0.000734615 67.8261 0.130435 2.4713 0.347826 33.7739 10.2246 0.478261
-1 28 0.404487 3 0.00108887 150 0.0357143 -0.832857 0.535714 12.425 10.6904 0.428571
-1 11 0.660848 1 0.000748511 70.9091 0.454545 0.800909 0.454545 8.26364 9.73633 0.545455
-1 14 0.672233 -2 -0.00112807 132.143 0.214286 0.755714 0.428571 31.8571 3.5625 0.785714
-1 36 0.226918 -3 -0.000691278 100.278 0.166667 1.66556 0.333333 16.2972 3.85986 0.5
-1 25 0.539962 7 0.00254835 97.6 0.12 0.6964 0.44 -23.58 11.3296 0.48
